product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Rice krispies,Petit-déjeuners,1.0,d,1670.0,0.0,0.0,12.0,0.0,8.0,1.42,12.0
Frosted Mini Weals original,Petit-déjeuners,1.0,a,544.0,0.5,0.0,8.0,4.0,3.0,0.0,-4.0
Pringles Original,Snacks,0.0,d,2240.0,32.1,8.93,3.57,3.57,3.57,1.36,14.0
Tartar Sauce with dill & jalapeno,Epicerie,4.0,c,1260.0,30.0,1.67,0.0,0.0,0.0,0.931,8.0
Sweetheart Cabbage,Légumes frais,0.0,a,112.0,0.4,0.1,3.8,2.4,1.8,0.0,-9.0
Tropical Gold Premium Pineapple Chunks in Juice,Conserves,0.0,a,272.0,0.1,0.0,12.0,0.1,0.4,0.254,-2.0
Mandarin oranges in 100% fruit juice,Fruits,2.0,a,310.0,0.0,0.0,16.39,0.8,0.82,0.01016,-3.0
Bush's Best Homestyle Baked Beans,Baked-beans,1.0,b,451.0,0.769,0.0,9.23,3.85,4.62,1.07,0.0
Pinto Beans,Conserves,1.0,a,322.0,0.0,0.0,0.0,5.4,4.62,0.87884,-4.0
Steakhouse Recipe Grillin' Beans,Baked-beans,2.0,b,579.0,0.385,0.0,16.2,3.85,4.62,0.996,1.0
Classic hummus,Produits à tartiner salés,2.0,c,1050.0,17.9,3.57,0.0,7.14,7.14,1.18,6.0
Spicy Guacamole,Epicerie,1.0,b,606.0,12.9,1.61,0.0,6.45,3.23,1.23,0.0
Balsamic Vinaigrette,Epicerie,5.0,d,837.0,16.7,1.67,10.0,0.0,0.0,2.37,15.0
Classico Four Cheese Pasta Sauce,Epicerie,5.0,c,201.0,0.8,0.0,4.8,1.6,1.6,0.996,3.0
Creamy Alfredo Pasta Sauce,Epicerie,2.0,c,418.0,7.5,4.17,1.67,1.67,1.67,1.82,10.0
Roasted Garlic Alfredo Pasta Sauce,Epicerie,2.0,d,418.0,6.67,4.17,1.67,0.0,3.33,1.48,11.0
FREEZE DRIED PASTA PRIMAVERA,Pâtes alimentaires,1.0,d,1640.0,10.7,6.25,12.5,3.57,14.3,2.59,17.0
French Vanilla naturally flavored Yogurt,Yaourts,1.0,c,640.0,7.06,4.12,17.1,0.0,4.71,0.134,6.0
Light Garlic & Herb,Fromages,4.0,d,695.0,7.14,4.76,4.76,0.0,9.52,2.3,12.0
Classic Cheddar Pierogies ,Pierogies,5.0,b,624.0,2.19,0.439,0.877,0.877,4.39,1.02,2.0
Portabella Mushroom Authentic Italian Pasta Sauce,Epicerie,0.0,b,302.0,3.6,0.8,4.8,2.4,1.6,0.955,2.0
Oats & More with Strawberries Cereal,Aliments et boissons à base de végétaux,4.0,c,1620.0,3.23,0.0,25.8,6.45,6.45,1.02,8.0
Rotini,Pâtes alimentaires,2.0,a,1490.0,1.79,0.0,3.57,3.57,12.5,0.0,-6.0
Greek non fat yogurt,Yaourts,0.0,a,240.0,0.0,0.0,3.96,0.441,10.1,0.101,-5.0
Schnucks Diced Tomatoes,Conserves,2.0,a,86.8,0.0,0.0,2.48,0.826,0.826,0.0315,-6.0
Schnucks Balsamic Vinaigrette Dressing,Epicerie,1.0,d,1260.0,30.0,3.33,6.67,0.0,0.0,2.46,17.0
Ranch,Epicerie,6.0,c,586.0,15.0,2.5,1.0,0.0,0.0,0.7366,6.0
Blackberries in light syrup,Conserves,0.0,a,329.0,0.0,0.0,13.6,4.29,0.714,0.0181,-7.0
Pitted dark sweet cherrie in heavy syrup,Conserves,0.0,a,359.0,0.0,0.0,18.6,2.14,0.714,0.00907,-3.0
Wild Caught Shrimp,Crustacés,1.0,b,373.0,1.79,0.0,0.0,0.0,19.6,1.5,2.0
Chocolate Lowfat Milk,Laits,1.0,b,259.0,1.04,0.62,9.58,0.4,3.33,0.24384,1.0
